Geographic Area Name,P_Covid_012221,T_Covid_012221,T_Pop,P_Educated,P_HSDropout,P_Disability,P_NotWhite,P_White,P_Black,P_Hispanic,P_Asian,P_NewMoms,P_Fertility,P_Essential,P_Vacant,P_SFR,P_MFR20+,MedianRooms,MHV,P_Female,P_Children,P_Seniors,P_Renter,P_MortgageStress,P_RentStress,P_HousingStress,P_NoCar,P_Unemployed,P_Transit,P_WorkatHome,MHI,P_Snap,P_PublicIns,P_NoHealthIns,P_Poverty,P_Poverty_Kids,P_Poverty_Seniors,P_FamilywithKids,P_SingleMoms,A_FamSize,P_OtherRel,P_Married,P_Foreign,P_NonEnglish,P_Internet,P_Veterans
Albertson CDP,6.1,322,5254,54.5,7.2,9.4,36.2,63.8,0,9.4,23.7,3.7,10.5,33.9,3,96.4,1.4,6.9,582600,50.3,21.1,19.6,4.3,30.7,66.2,21.6,2,3.2,18.4,1.4,118942,1.9,27.6,3.2,2,2.6,1.4,29.1,1.2,3.37,7.1,60,25,38.1,89,4.1
Atlantic Beach village,11.4,160,1398,54.4,2.4,12.1,9.3,90.7,1.5,4,1.5,2.9,6.8,21.9,34,93.5,1,6.5,759100,49.8,16.0,26.0,16.1,44.2,40.2,27,1.2,4.3,17.3,10.2,139250,1.2,31.8,2.1,2.3,3.6,4.4,16.6,2.6,2.78,3.5,68.7,11.5,9.8,95,5.3
Baldwin CDP,7.3,1835,25134,37.6,9.6,7.2,66.2,33.8,34.6,25.2,3.4,2.6,8.3,48.3,3.4,83.7,7.2,6.8,373900,52.8,23.3,13.3,15.5,34.1,55.4,28.9,6.4,4.4,15.6,4.5,105888,5.1,25.6,6.3,6,7.9,4.9,37.7,2.2,3.58,9.6,53,26.7,28.6,87.8,2.6
Baldwin Harbor CDP,8.3,636,7690,47.1,5.3,7.5,56.9,43.1,27.7,22.1,4.8,5.6,12.4,39.2,9.6,96.4,2,7.1,413500,51.0,18.7,14.7,8.4,35.4,66.7,25.3,2.8,5.2,16.8,8.2,118194,2.5,24,7.1,5.3,8,1.8,29,2.4,3.5,11,49.5,26.2,23.5,93.3,4.4
Barnum Island CDP,9.8,220,2247,27.1,15.3,17.9,26.6,73.4,4.6,15.6,3,2.9,7,38.8,3.5,75.6,13.7,6,458400,41.3,13.3,21.9,24.9,30.7,68.9,29.1,12.3,13.2,22.9,6.8,96563,16.9,41.3,4.5,9.9,27.5,5.1,18.8,5.3,2.74,7.4,42.6,11.1,23,83,7.4
Baxter Estates village,5.7,61,1065,62.8,7.7,5.8,33.8,66.2,1,18.1,13.3,13.1,11.7,29,10,56.1,19.6,5.4,816700,45.7,19.7,23.6,36.6,33.9,55.3,32.6,12,3,33.4,7.4,115417,0,27.7,11.9,12.7,23.8,6,25.5,0.9,2.88,3.5,52.7,36.8,34.2,91.8,3.6
Bay Park CDP,10.4,168,1614,24.8,3.5,11.2,10.5,89.5,0,2.7,7.9,9.9,6.1,65.7,12,94.8,3.3,5.4,319300,49.4,16.7,18.3,34.2,27.3,48.2,22.9,7,5.8,10.1,1.8,81477,0,48.4,5.5,3.7,0,4.4,22.7,5,3.49,1.8,36.7,8.7,10.9,84.7,6.1
Bayville village,7.2,481,6708,44.7,3.8,9.7,9.9,90.1,0.3,5.6,1,2.3,6.1,34.9,7.6,87.8,0,6.9,536200,49.3,18.2,22.6,18.5,28.5,36.1,20.2,0,4.4,11.9,3.4,105469,2.6,29.9,3.3,4.7,8.5,4,24.8,1.5,3.16,4.3,58.5,10,14.6,92.7,5
Bellerose Terrace CDP,8.2,168,2055,31.8,11.1,4.1,68.4,31.6,1.4,28.7,34,0.2,3,61.7,4.2,79.4,0,6.1,442300,55.4,24.5,9.3,13.3,38.8,23.7,30.6,3.5,2,25.4,1.9,106607,2.4,28.4,6.4,1.4,1.8,0,52.4,4.7,3.76,7,67.3,44.7,54.9,91.4,2.5
Bellerose village,7.4,87,1178,64.8,3.4,9.5,17.4,82.6,1.5,14.9,0.7,3,10.4,24.6,6.8,95.6,0,7.7,631600,47.4,25.1,20.9,4.3,28.9,100,21.1,2.5,5,23.4,5.6,165750,4.8,20.8,2.2,6.5,6.1,10.2,36.1,1.8,3.32,4.2,60.5,7.7,16.2,88.5,7.1
